English_Queries,Task,Category,Sub_Category,Customer
generate Count  Processed Cheese in year 2019?,Count,NA,Processed Cheese,NA
fetch Net sales  Candy in year 2019?,Net sales,Candy,NA,NA
fetch Bottom Line  Breakfast in quarter Q1?,Bottom Line,Breakfast,NA,NA
generate Revenue  Processed Cheese in month May to Oct?,Revenue,NA,Processed Cheese,NA
display Count  BBQ in quarter Q2?,Count,NA,BBQ,NA
get Top Line  Juice in year 2019?,Top Line,NA,Juice,NA
fetch Count  Natural Cheese in quarter Q2?,Count,NA,Natural Cheese,NA
get Revenue  Amazon in quarter Q2 to Q4?,Revenue,NA,NA,Amazon
display Top Line  Kroger in week Wk11?,Top Line,NA,NA,Kroger
display Net sales  Target in month Jun to Sep?,Net sales,NA,NA,Target
fetch Count  Natural Cheese in week Wk7?,Count,NA,Natural Cheese,NA
fetch Net sales  Aldi in week Wk4 to Wk43?,Net sales,NA,NA,Aldi
get Bottom Line  Bacon in quarter Q3?,Bottom Line,NA,Bacon,NA
generate Net sales  Mayonaise in year 2019?,Net sales,NA,Mayonaise,NA
fetch Gross Sales  Aldi in quarter Q4?,Gross Sales,NA,NA,Aldi
get Net sales  Meats in year 2019?,Net sales,Meats,NA,NA
get Net sales  Dollar General in month Apr?,Net sales,NA,NA,Dollar General
fetch Net sales  Cheese in year 2019?,Net sales,Cheese,NA,NA
generate Top Line  Aldi in year 2019?,Top Line,NA,NA,Aldi
fetch Net sales  Ketchup in year 2019?,Net sales,NA,Ketchup,NA
get Max Shipment  UNIFI in year 2019?,Max Shipment,NA,NA,UNIFI
get Top Line  Ahold in quarter Q1 to Q4?,Top Line,NA,NA,Ahold
display Max Shipment  Candy in month Aug?,Max Shipment,Candy,NA,NA
fetch Bottom Line  Meats in week Wk21 to Wk35?,Bottom Line,Meats,NA,NA
generate Max Shipment  Juice in quarter Q3?,Max Shipment,NA,Juice,NA
fetch Count  Chocolate in year 2019?,Count,NA,Chocolate,NA
get Revenue  Costco in week Wk28?,Revenue,NA,NA,Costco
generate Gross Sales  Bars/Snacks in month Apr to Dec?,Gross Sales,NA,Bars/Snacks,NA
display Top Line  Coffee in quarter Q2?,Top Line,NA,Coffee,NA
display Count  Caramels in quarter Q2 to Q4?,Count,NA,Caramels,NA
fetch Bottom Line  Sauces in week Wk46?,Bottom Line,Sauces,NA,NA
fetch Top Line  Gelatin in week Wk20 to Wk32?,Top Line,NA,Gelatin,NA
display Top Line  Albertsons/Safeway in quarter Q3?,Top Line,NA,NA,Albertsons/Safeway
generate Max Shipment  Sauces in month Feb to Nov?,Max Shipment,Sauces,NA,NA
get Bottom Line  Breakfast in week Wk38?,Bottom Line,Breakfast,NA,NA
generate Gross Sales  Tea in month Feb to Oct?,Gross Sales,NA,Tea,NA
display Top Line  Chocolate in year 2019?,Top Line,NA,Chocolate,NA
generate Gross Sales  UNIFI in quarter Q1 to Q4?,Gross Sales,NA,NA,UNIFI
display Net sales  Target in month Oct?,Net sales,NA,NA,Target
generate Net sales  Cheese in week Wk12 to Wk44?,Net sales,Cheese,NA,NA
generate Net sales  Albertsons/Safeway in month Feb?,Net sales,NA,NA,Albertsons/Safeway
generate Gross Sales  Amazon in month May to Oct?,Gross Sales,NA,NA,Amazon
generate Count  Mayonaise in quarter Q4?,Count,NA,Mayonaise,NA
get Top Line  Juice in month May to Sep?,Top Line,NA,Juice,NA
get Revenue  Albertsons/Safeway in year 2019?,Revenue,NA,NA,Albertsons/Safeway
generate Max Shipment  Specialty Meats in quarter Q2 to Q4?,Max Shipment,NA,Specialty Meats,NA
get Gross Sales  Natural Cheese in month Jan?,Gross Sales,NA,Natural Cheese,NA
display Bottom Line  Cheese in quarter Q2 to Q4?,Bottom Line,Cheese,NA,NA
fetch Bottom Line  BBQ in week Wk52?,Bottom Line,NA,BBQ,NA
get Count  BBQ in year 2019?,Count,NA,BBQ,NA
get Top Line  Ketchup in year 2019?,Top Line,NA,Ketchup,NA
fetch Bottom Line  Candy in week Wk10 to Wk49?,Bottom Line,Candy,NA,NA
generate Bottom Line  Tea in month Feb?,Bottom Line,NA,Tea,NA
get Max Shipment  Breakfast in week Wk20 to Wk29?,Max Shipment,Breakfast,NA,NA
generate Count  Bacon in week Wk34?,Count,NA,Bacon,NA
generate Count  Sauces in year 2019?,Count,Sauces,NA,NA
display Net sales  Candy in year 2019?,Net sales,Candy,NA,NA
get Bottom Line  Processed Cheese in year 2019?,Bottom Line,NA,Processed Cheese,NA
display Net sales  Hard in quarter Q4?,Net sales,NA,Hard,NA
generate Bottom Line  Kroger in month Mar to Sep?,Bottom Line,NA,NA,Kroger
get Gross Sales  Meats in month Mar?,Gross Sales,Meats,NA,NA
display Max Shipment  Amazon in month Mar to Nov?,Max Shipment,NA,NA,Amazon
display Net sales  Cheese in quarter Q2?,Net sales,Cheese,NA,NA
generate Max Shipment  Breakfast in quarter Q1 to Q4?,Max Shipment,Breakfast,NA,NA
fetch Max Shipment  Cheese in quarter Q3?,Max Shipment,Cheese,NA,NA
get Bottom Line  Cheese in quarter Q1 to Q4?,Bottom Line,Cheese,NA,NA
fetch Top Line  Coffee in week Wk46?,Top Line,NA,Coffee,NA
get Top Line  Sauces in year 2019?,Top Line,Sauces,NA,NA
fetch Revenue  Candy in week Wk49?,Revenue,Candy,NA,NA
get Gross Sales  Cheese in month Apr to Dec?,Gross Sales,Cheese,NA,NA
display Count  Juice in week Wk37?,Count,NA,Juice,NA
fetch Gross Sales  Tea in month Apr to Dec?,Gross Sales,NA,Tea,NA
get Count  Coffee in quarter Q2?,Count,NA,Coffee,NA
get Net sales  Cheese in year 2019?,Net sales,Cheese,NA,NA
display Max Shipment  Caramels in week Wk46?,Max Shipment,NA,Caramels,NA
get Bottom Line  Walmart in week Wk16 to Wk31?,Bottom Line,NA,NA,Walmart
fetch Top Line  Sauces in year 2019?,Top Line,Sauces,NA,NA
display Bottom Line  Aldi in month Feb to Nov?,Bottom Line,NA,NA,Aldi
get Bottom Line  Coffee in week Wk16?,Bottom Line,NA,Coffee,NA
get Gross Sales  Meats in week Wk5 to Wk35?,Gross Sales,Meats,NA,NA
get Bottom Line  Caramels in month Jul?,Bottom Line,NA,Caramels,NA
display Gross Sales  Amazon in year 2019?,Gross Sales,NA,NA,Amazon
display Top Line  Candy in year 2019?,Top Line,Candy,NA,NA
generate Gross Sales  Candy in quarter Q2 to Q4?,Gross Sales,Candy,NA,NA
display Count  Meats in year 2019?,Count,Meats,NA,NA
generate Revenue  Cold Cuts in year 2019?,Revenue,NA,Cold Cuts,NA
display Net sales  Candy in month May?,Net sales,Candy,NA,NA
display Net sales  Creamers in month Jun to Sep?,Net sales,NA,Creamers,NA
generate Max Shipment  Amazon in month May?,Max Shipment,NA,NA,Amazon
get Gross Sales  Hot Dogs in year 2019?,Gross Sales,NA,Hot Dogs,NA
display Revenue  Ketchup in year 2019?,Revenue,NA,Ketchup,NA
generate Net sales  Cheese in year 2019?,Net sales,Cheese,NA,NA
generate Count  Cold Cuts in month Apr?,Count,NA,Cold Cuts,NA
fetch Gross Sales  Breakfast in week Wk1 to Wk29?,Gross Sales,Breakfast,NA,NA
get Bottom Line  Albertsons/Safeway in year 2019?,Bottom Line,NA,NA,Albertsons/Safeway
generate Gross Sales  Dollar General in year 2019?,Gross Sales,NA,NA,Dollar General
get Bottom Line  Cheese in month Jun?,Bottom Line,Cheese,NA,NA
get Revenue  Creamers in month Jan to Aug?,Revenue,NA,Creamers,NA
fetch Bottom Line  Aldi in quarter Q2?,Bottom Line,NA,NA,Aldi
generate Max Shipment  Target in week Wk4 to Wk42?,Max Shipment,NA,NA,Target
generate Bottom Line  Breakfast in quarter Q2?,Bottom Line,Breakfast,NA,NA
display Count  Target in week Wk20 to Wk34?,Count,NA,NA,Target
display Top Line  Albertsons/Safeway in month Feb?,Top Line,NA,NA,Albertsons/Safeway
generate Bottom Line  Tea in month Jun to Nov?,Bottom Line,NA,Tea,NA
fetch Revenue  Bars/Snacks in week Wk38?,Revenue,NA,Bars/Snacks,NA
generate Top Line  BBQ in year 2019?,Top Line,NA,BBQ,NA
fetch Max Shipment  Juice in week Wk36?,Max Shipment,NA,Juice,NA
display Max Shipment  Cheese in week Wk21 to Wk44?,Max Shipment,Cheese,NA,NA
generate Count  Dollar General in year 2019?,Count,NA,NA,Dollar General
display Net sales  Caramels in quarter Q2 to Q4?,Net sales,NA,Caramels,NA
display Top Line  Sauces in month Aug?,Top Line,Sauces,NA,NA
generate Gross Sales  Breakfast in week Wk5 to Wk40?,Gross Sales,Breakfast,NA,NA
fetch Net sales  Dollar General in week Wk28?,Net sales,NA,NA,Dollar General
generate Max Shipment  Candy in month Feb to Aug?,Max Shipment,Candy,NA,NA
display Count  Candy in month Mar?,Count,Candy,NA,NA
display Bottom Line  Ketchup in week Wk3 to Wk31?,Bottom Line,NA,Ketchup,NA
display Max Shipment  Breakfast in month Oct?,Max Shipment,Breakfast,NA,NA
get Gross Sales  Caramels in quarter Q1 to Q4?,Gross Sales,NA,Caramels,NA
display Bottom Line  Mayonaise in week Wk38?,Bottom Line,NA,Mayonaise,NA
display Max Shipment  Cheese in month May to Oct?,Max Shipment,Cheese,NA,NA
fetch Max Shipment  Ahold in quarter Q2?,Max Shipment,NA,NA,Ahold
display Top Line  Tea in week Wk8 to Wk42?,Top Line,NA,Tea,NA
fetch Max Shipment  Aldi in quarter Q4?,Max Shipment,NA,NA,Aldi
display Max Shipment  Dollar General in quarter Q2 to Q4?,Max Shipment,NA,NA,Dollar General
fetch Max Shipment  Cheese in week Wk33?,Max Shipment,Cheese,NA,NA
get Net sales  Specialty Meats in month Feb to Sep?,Net sales,NA,Specialty Meats,NA
fetch Revenue  Aldi in quarter Q2?,Revenue,NA,NA,Aldi
generate Max Shipment  Target in week Wk17 to Wk34?,Max Shipment,NA,NA,Target
get Max Shipment  Specialty Meats in month Jul?,Max Shipment,NA,Specialty Meats,NA
generate Top Line  Cold Cuts in week Wk11 to Wk42?,Top Line,NA,Cold Cuts,NA
get Count  Sauces in quarter Q3?,Count,Sauces,NA,NA
generate Count  Kroger in month Feb to Nov?,Count,NA,NA,Kroger
display Bottom Line  Cheese in year 2019?,Bottom Line,Cheese,NA,NA
display Count  Meats in quarter Q1 to Q4?,Count,Meats,NA,NA
fetch Gross Sales  Ahold in week Wk11?,Gross Sales,NA,NA,Ahold
display Bottom Line  Specialty Meats in quarter Q2 to Q4?,Bottom Line,NA,Specialty Meats,NA
fetch Max Shipment  Candy in quarter Q3?,Max Shipment,Candy,NA,NA
display Revenue  Albertsons/Safeway in week Wk15 to Wk33?,Revenue,NA,NA,Albertsons/Safeway
fetch Revenue  Target in quarter Q4?,Revenue,NA,NA,Target
display Bottom Line  Aldi in year 2019?,Bottom Line,NA,NA,Aldi
display Net sales  Kroger in month Jun?,Net sales,NA,NA,Kroger
display Net sales  Mayonaise in year 2019?,Net sales,NA,Mayonaise,NA
display Net sales  Sauces in year 2019?,Net sales,Sauces,NA,NA
fetch Max Shipment  Publix in month Jun to Sep?,Max Shipment,NA,NA,Publix
generate Revenue  Aldi in month Aug?,Revenue,NA,NA,Aldi
fetch Top Line  Walmart in year 2019?,Top Line,NA,NA,Walmart
display Top Line  UNIFI in quarter Q3?,Top Line,NA,NA,UNIFI
display Gross Sales  Juice in year 2019?,Gross Sales,NA,Juice,NA
generate Max Shipment  Sauces in week Wk16?,Max Shipment,Sauces,NA,NA
generate Top Line  Albertsons/Safeway in week Wk20 to Wk35?,Top Line,NA,NA,Albertsons/Safeway
get Gross Sales  Meats in month Oct?,Gross Sales,Meats,NA,NA
get Gross Sales  Meats in week Wk6 to Wk46?,Gross Sales,Meats,NA,NA
display Revenue  Meats in year 2019?,Revenue,Meats,NA,NA
generate Revenue  UNIFI in quarter Q2 to Q4?,Revenue,NA,NA,UNIFI
display Bottom Line  Sauces in week Wk8?,Bottom Line,Sauces,NA,NA
display Bottom Line  Hard in year 2019?,Bottom Line,NA,Hard,NA
generate Max Shipment  Breakfast in week Wk1?,Max Shipment,Breakfast,NA,NA
fetch Gross Sales  Kroger in month May to Sep?,Gross Sales,NA,NA,Kroger
get Count  Chocolate in month Oct?,Count,NA,Chocolate,NA
display Max Shipment  Breakfast in year 2019?,Max Shipment,Breakfast,NA,NA
generate Revenue  Amazon in week Wk26?,Revenue,NA,NA,Amazon
display Revenue  Shelf Stable in year 2019?,Revenue,NA,Shelf Stable,NA
get Revenue  Costco in quarter Q2?,Revenue,NA,NA,Costco
generate Net sales  Meats in month Jan to Oct?,Net sales,Meats,NA,NA
generate Net sales  Cheese in year 2019?,Net sales,Cheese,NA,NA
display Net sales  Candy in quarter Q1 to Q4?,Net sales,Candy,NA,NA
display Max Shipment  Sauces in week Wk34?,Max Shipment,Sauces,NA,NA
display Max Shipment  Ketchup in quarter Q1 to Q4?,Max Shipment,NA,Ketchup,NA
get Revenue  Cheese in quarter Q3?,Revenue,Cheese,NA,NA
display Max Shipment  Chocolate in month Jan to Sep?,Max Shipment,NA,Chocolate,NA
display Gross Sales  Processed Cheese in quarter Q3?,Gross Sales,NA,Processed Cheese,NA
fetch Count  Walmart in year 2019?,Count,NA,NA,Walmart
get Net sales  Breakfast in quarter Q1?,Net sales,Breakfast,NA,NA
get Count  Shelf Stable in quarter Q1 to Q4?,Count,NA,Shelf Stable,NA
generate Net sales  Aldi in month Aug?,Net sales,NA,NA,Aldi
fetch Gross Sales  Dollar General in quarter Q2 to Q4?,Gross Sales,NA,NA,Dollar General
generate Top Line  Ketchup in year 2019?,Top Line,NA,Ketchup,NA
fetch Count  Target in month Feb to Dec?,Count,NA,NA,Target
display Top Line  Walmart in week Wk49?,Top Line,NA,NA,Walmart
get Bottom Line  Coffee in week Wk16 to Wk52?,Bottom Line,NA,Coffee,NA
fetch Max Shipment  Meats in month Mar?,Max Shipment,Meats,NA,NA
generate Top Line  Meats in year 2019?,Top Line,Meats,NA,NA
generate Max Shipment  Cheese in month Dec?,Max Shipment,Cheese,NA,NA
fetch Bottom Line  Dollar General in quarter Q2 to Q4?,Bottom Line,NA,NA,Dollar General
fetch Bottom Line  Dollar General in quarter Q2?,Bottom Line,NA,NA,Dollar General
fetch Gross Sales  Breakfast in month Feb to Nov?,Gross Sales,Breakfast,NA,NA
get Max Shipment  Sauces in month Mar?,Max Shipment,Sauces,NA,NA
fetch Revenue  Kroger in month May to Aug?,Revenue,NA,NA,Kroger
display Max Shipment  Amazon in month Sep?,Max Shipment,NA,NA,Amazon
get Max Shipment  Amazon in year 2019?,Max Shipment,NA,NA,Amazon
get Bottom Line  Candy in quarter Q3?,Bottom Line,Candy,NA,NA
generate Count  Amazon in year 2019?,Count,NA,NA,Amazon
get Revenue  Candy in week Wk23?,Revenue,Candy,NA,NA
generate Max Shipment  BBQ in week Wk2 to Wk41?,Max Shipment,NA,BBQ,NA
fetch Count  Candy in quarter Q2?,Count,Candy,NA,NA
get Max Shipment  UNIFI in month May to Nov?,Max Shipment,NA,NA,UNIFI
generate Count  Sauces in month May?,Count,Sauces,NA,NA
get Revenue  Meats in week Wk9 to Wk29?,Revenue,Meats,NA,NA
display Top Line  Chocolate in week Wk43?,Top Line,NA,Chocolate,NA
display Top Line  Hard in year 2019?,Top Line,NA,Hard,NA
generate Top Line  Mayonaise in month Nov?,Top Line,NA,Mayonaise,NA
display Gross Sales  Ahold in month May to Nov?,Gross Sales,NA,NA,Ahold
generate Bottom Line  Sauces in quarter Q3?,Bottom Line,Sauces,NA,NA
generate Net sales  Walmart in year 2019?,Net sales,NA,NA,Walmart
generate Revenue  BBQ in month Oct?,Revenue,NA,BBQ,NA
generate Top Line  Dollar General in year 2019?,Top Line,NA,NA,Dollar General
display Top Line  Meats in year 2019?,Top Line,Meats,NA,NA
fetch Revenue  Meats in quarter Q2 to Q4?,Revenue,Meats,NA,NA
fetch Top Line  Walmart in week Wk22?,Top Line,NA,NA,Walmart
display Revenue  Mayonaise in quarter Q1 to Q4?,Revenue,NA,Mayonaise,NA
generate Count  Meats in year 2019?,Count,Meats,NA,NA
display Count  Hard in month Feb to Nov?,Count,NA,Hard,NA
generate Count  Shelf Stable in week Wk32?,Count,NA,Shelf Stable,NA
fetch Gross Sales  Coffee in month Apr to Sep?,Gross Sales,NA,Coffee,NA
get Net sales  Candy in quarter Q4?,Net sales,Candy,NA,NA
fetch Bottom Line  Cheese in year 2019?,Bottom Line,Cheese,NA,NA
display Max Shipment  Juice in year 2019?,Max Shipment,NA,Juice,NA
display Bottom Line  Meats in year 2019?,Bottom Line,Meats,NA,NA
fetch Net sales  Cold Cuts in month Aug?,Net sales,NA,Cold Cuts,NA
get Bottom Line  Shelf Stable in year 2019?,Bottom Line,NA,Shelf Stable,NA
fetch Max Shipment  Cheese in quarter Q3?,Max Shipment,Cheese,NA,NA
display Top Line  Cheese in year 2019?,Top Line,Cheese,NA,NA
generate Net sales  Sauces in week Wk39?,Net sales,Sauces,NA,NA
display Bottom Line  Cheese in week Wk6 to Wk46?,Bottom Line,Cheese,NA,NA
generate Net sales  Amazon in month Oct?,Net sales,NA,NA,Amazon
fetch Net sales  Sauces in month Apr to Dec?,Net sales,Sauces,NA,NA
fetch Gross Sales  Publix in year 2019?,Gross Sales,NA,NA,Publix
get Revenue  All others in quarter Q1 to Q4?,Revenue,NA,All others,NA
display Max Shipment  Candy in week Wk2?,Max Shipment,Candy,NA,NA
get Revenue  Candy in quarter Q1 to Q4?,Revenue,Candy,NA,NA
display Gross Sales  Breakfast in week Wk46?,Gross Sales,Breakfast,NA,NA
fetch Revenue  Cheese in week Wk2 to Wk29?,Revenue,Cheese,NA,NA
fetch Net sales  Ahold in quarter Q3?,Net sales,NA,NA,Ahold
get Top Line  Specialty Meats in quarter Q2 to Q4?,Top Line,NA,Specialty Meats,NA
get Gross Sales  All others in year 2019?,Gross Sales,NA,All others,NA
get Revenue  Cheese in week Wk10 to Wk30?,Revenue,Cheese,NA,NA
get Net sales  Mayonaise in year 2019?,Net sales,NA,Mayonaise,NA
display Top Line  Amazon in week Wk16 to Wk36?,Top Line,NA,NA,Amazon
display Net sales  Meats in week Wk22?,Net sales,Meats,NA,NA
generate Net sales  Meats in quarter Q2 to Q4?,Net sales,Meats,NA,NA
display Bottom Line  Specialty Meats in week Wk19?,Bottom Line,NA,Specialty Meats,NA
generate Max Shipment  Walmart in year 2019?,Max Shipment,NA,NA,Walmart
fetch Net sales  Juice in quarter Q4?,Net sales,NA,Juice,NA
display Net sales  Caramels in week Wk15 to Wk38?,Net sales,NA,Caramels,NA
display Net sales  UNIFI in week Wk44?,Net sales,NA,NA,UNIFI
get Max Shipment  Breakfast in quarter Q1 to Q4?,Max Shipment,Breakfast,NA,NA
fetch Bottom Line  Target in week Wk38?,Bottom Line,NA,NA,Target
fetch Revenue  Cheese in year 2019?,Revenue,Cheese,NA,NA
generate Gross Sales  Candy in month Nov?,Gross Sales,Candy,NA,NA
fetch Revenue  Dollar General in year 2019?,Revenue,NA,NA,Dollar General
display Net sales  Hot Dogs in year 2019?,Net sales,NA,Hot Dogs,NA
display Top Line  UNIFI in year 2019?,Top Line,NA,NA,UNIFI
fetch Top Line  Sauces in quarter Q1?,Top Line,Sauces,NA,NA
fetch Top Line  Aldi in month Jan to Sep?,Top Line,NA,NA,Aldi
display Max Shipment  Breakfast in month Feb?,Max Shipment,Breakfast,NA,NA
generate Max Shipment  Sauces in month May to Oct?,Max Shipment,Sauces,NA,NA
generate Revenue  Breakfast in month Oct?,Revenue,Breakfast,NA,NA
get Bottom Line  Candy in quarter Q2 to Q4?,Bottom Line,Candy,NA,NA
fetch Net sales  Gelatin in month Jan?,Net sales,NA,Gelatin,NA
display Count  Sauces in quarter Q2 to Q4?,Count,Sauces,NA,NA
display Gross Sales  Breakfast in year 2019?,Gross Sales,Breakfast,NA,NA
generate Bottom Line  Sauces in week Wk17 to Wk36?,Bottom Line,Sauces,NA,NA
fetch Gross Sales  Enhancers in month Feb?,Gross Sales,NA,Enhancers,NA
get Count  BBQ in week Wk4 to Wk34?,Count,NA,BBQ,NA
get Bottom Line  Walmart in month May?,Bottom Line,NA,NA,Walmart
get Max Shipment  All others in week Wk11 to Wk46?,Max Shipment,NA,All others,NA
generate Count  Ahold in quarter Q1?,Count,NA,NA,Ahold
generate Max Shipment  Albertsons/Safeway in week Wk5 to Wk31?,Max Shipment,NA,NA,Albertsons/Safeway
get Top Line  Grated in month Feb?,Top Line,NA,Grated,NA
fetch Bottom Line  Aldi in month Mar to Nov?,Bottom Line,NA,NA,Aldi
fetch Count  Meats in week Wk32?,Count,Meats,NA,NA
fetch Bottom Line  Breakfast in quarter Q1 to Q4?,Bottom Line,Breakfast,NA,NA
get Bottom Line  Ahold in quarter Q1?,Bottom Line,NA,NA,Ahold
display Bottom Line  Aldi in month Mar to Dec?,Bottom Line,NA,NA,Aldi
get Net sales  Target in quarter Q2?,Net sales,NA,NA,Target
generate Bottom Line  Meats in month Apr to Sep?,Bottom Line,Meats,NA,NA
fetch Top Line  Creamers in quarter Q1?,Top Line,NA,Creamers,NA
fetch Max Shipment  Breakfast in week Wk22 to Wk28?,Max Shipment,Breakfast,NA,NA
display Bottom Line  Aldi in quarter Q1?,Bottom Line,NA,NA,Aldi
generate Max Shipment  Publix in year 2019?,Max Shipment,NA,NA,Publix
display Net sales  Aldi in month Jul?,Net sales,NA,NA,Aldi
generate Max Shipment  Cheese in year 2019?,Max Shipment,Cheese,NA,NA
fetch Max Shipment  Breakfast in week Wk41?,Max Shipment,Breakfast,NA,NA
display Bottom Line  Cheese in year 2019?,Bottom Line,Cheese,NA,NA
get Top Line  Aldi in month May?,Top Line,NA,NA,Aldi
display Count  Albertsons/Safeway in year 2019?,Count,NA,NA,Albertsons/Safeway
generate Revenue  Cold Cuts in month Jan?,Revenue,NA,Cold Cuts,NA
generate Top Line  Natural Cheese in year 2019?,Top Line,NA,Natural Cheese,NA
display Gross Sales  Amazon in month May?,Gross Sales,NA,NA,Amazon
display Max Shipment  Cheese in week Wk25 to Wk30?,Max Shipment,Cheese,NA,NA
get Bottom Line  Sauces in month Jan?,Bottom Line,Sauces,NA,NA
get Top Line  Dollar General in year 2019?,Top Line,NA,NA,Dollar General
get Revenue  Specialty Meats in week Wk13?,Revenue,NA,Specialty Meats,NA
display Revenue  Costco in year 2019?,Revenue,NA,NA,Costco
display Revenue  Costco in month Aug?,Revenue,NA,NA,Costco
get Max Shipment  Target in year 2019?,Max Shipment,NA,NA,Target
fetch Net sales  Processed Cheese in month Jul?,Net sales,NA,Processed Cheese,NA
display Count  Cheese in week Wk8 to Wk38?,Count,Cheese,NA,NA
get Max Shipment  Juice in year 2019?,Max Shipment,NA,Juice,NA
generate Max Shipment  Ahold in month Apr to Aug?,Max Shipment,NA,NA,Ahold
display Count  Breakfast in week Wk22?,Count,Breakfast,NA,NA
fetch Max Shipment  Bacon in month Jun to Nov?,Max Shipment,NA,Bacon,NA
generate Net sales  Ketchup in month Feb?,Net sales,NA,Ketchup,NA
get Count  Sauces in year 2019?,Count,Sauces,NA,NA
display Max Shipment  Shelf Stable in year 2019?,Max Shipment,NA,Shelf Stable,NA
fetch Net sales  Gelatin in quarter Q1 to Q4?,Net sales,NA,Gelatin,NA
display Bottom Line  Natural Cheese in month Jun?,Bottom Line,NA,Natural Cheese,NA
get Count  Publix in week Wk19 to Wk50?,Count,NA,NA,Publix
fetch Max Shipment  Dollar General in week Wk49?,Max Shipment,NA,NA,Dollar General
fetch Bottom Line  Publix in month Jan to Nov?,Bottom Line,NA,NA,Publix
get Top Line  UNIFI in week Wk37?,Top Line,NA,NA,UNIFI
fetch Max Shipment  Publix in year 2019?,Max Shipment,NA,NA,Publix
fetch Count  Albertsons/Safeway in month Jan?,Count,NA,NA,Albertsons/Safeway
fetch Max Shipment  Sauces in year 2019?,Max Shipment,Sauces,NA,NA
get Bottom Line  Cheese in month Feb?,Bottom Line,Cheese,NA,NA
generate Max Shipment  Candy in year 2019?,Max Shipment,Candy,NA,NA
fetch Top Line  Walmart in quarter Q3?,Top Line,NA,NA,Walmart
get Net sales  UNIFI in quarter Q1 to Q4?,Net sales,NA,NA,UNIFI
generate Bottom Line  Dollar General in week Wk50?,Bottom Line,NA,NA,Dollar General
display Max Shipment  Creamers in quarter Q2 to Q4?,Max Shipment,NA,Creamers,NA
display Net sales  Shelf Stable in month Jun?,Net sales,NA,Shelf Stable,NA
get Count  Costco in week Wk24 to Wk35?,Count,NA,NA,Costco
fetch Bottom Line  Breakfast in year 2019?,Bottom Line,Breakfast,NA,NA
get Top Line  Kroger in quarter Q1 to Q4?,Top Line,NA,NA,Kroger
generate Revenue  Publix in quarter Q4?,Revenue,NA,NA,Publix
fetch Top Line  Chocolate in year 2019?,Top Line,NA,Chocolate,NA
display Count  Aldi in quarter Q2?,Count,NA,NA,Aldi
generate Max Shipment  Ahold in month Jan to Dec?,Max Shipment,NA,NA,Ahold
get Top Line  Tea in week Wk33?,Top Line,NA,Tea,NA
get Net sales  Bars/Snacks in week Wk13 to Wk30?,Net sales,NA,Bars/Snacks,NA
generate Revenue  UNIFI in year 2019?,Revenue,NA,NA,UNIFI
get Top Line  Grated in quarter Q1 to Q4?,Top Line,NA,Grated,NA
generate Gross Sales  Target in week Wk48?,Gross Sales,NA,NA,Target
fetch Revenue  Processed Cheese in week Wk15 to Wk35?,Revenue,NA,Processed Cheese,NA
fetch Count  Kroger in week Wk5?,Count,NA,NA,Kroger
fetch Revenue  Kroger in month Apr to Sep?,Revenue,NA,NA,Kroger
generate Top Line  Meats in week Wk39?,Top Line,Meats,NA,NA
get Revenue  Hot Dogs in year 2019?,Revenue,NA,Hot Dogs,NA
generate Net sales  Sauces in quarter Q3?,Net sales,Sauces,NA,NA
fetch Net sales  Caramels in quarter Q1 to Q4?,Net sales,NA,Caramels,NA
get Bottom Line  Ahold in week Wk2?,Bottom Line,NA,NA,Ahold
get Max Shipment  Natural Cheese in month Jun to Sep?,Max Shipment,NA,Natural Cheese,NA
fetch Gross Sales  Ahold in year 2019?,Gross Sales,NA,NA,Ahold
get Revenue  Enhancers in quarter Q2 to Q4?,Revenue,NA,Enhancers,NA
get Gross Sales  Cheese in week Wk5?,Gross Sales,Cheese,NA,NA
display Net sales  Ketchup in year 2019?,Net sales,NA,Ketchup,NA
get Count  Meats in month Jan?,Count,Meats,NA,NA
get Revenue  Breakfast in year 2019?,Revenue,Breakfast,NA,NA
fetch Net sales  Mayonaise in week Wk41?,Net sales,NA,Mayonaise,NA
get Net sales  Caramels in quarter Q2 to Q4?,Net sales,NA,Caramels,NA
generate Count  Candy in week Wk14?,Count,Candy,NA,NA
fetch Gross Sales  Cheese in month Jan to Sep?,Gross Sales,Cheese,NA,NA
display Revenue  Aldi in year 2019?,Revenue,NA,NA,Aldi
generate Net sales  Ahold in quarter Q2 to Q4?,Net sales,NA,NA,Ahold
display Count  Kroger in week Wk33?,Count,NA,NA,Kroger
get Net sales  Sauces in week Wk6 to Wk30?,Net sales,Sauces,NA,NA
display Revenue  UNIFI in quarter Q4?,Revenue,NA,NA,UNIFI
generate Net sales  Sauces in week Wk18 to Wk39?,Net sales,Sauces,NA,NA
fetch Max Shipment  Publix in quarter Q3?,Max Shipment,NA,NA,Publix
display Revenue  Target in year 2019?,Revenue,NA,NA,Target
fetch Net sales  Meats in quarter Q1?,Net sales,Meats,NA,NA
generate Bottom Line  Candy in week Wk6 to Wk38?,Bottom Line,Candy,NA,NA
generate Top Line  Costco in year 2019?,Top Line,NA,NA,Costco
generate Revenue  Coffee in month Jan to Nov?,Revenue,NA,Coffee,NA
fetch Net sales  UNIFI in year 2019?,Net sales,NA,NA,UNIFI
get Top Line  Walmart in month Jun to Nov?,Top Line,NA,NA,Walmart
