English_Queries,Task,Category,Sub_Category,Customer
display Top Line for category Candy in year 2019?,Top Line,Candy,NA,NA
fetch Count for Sub_category Chocolate in year 2019?,Count,NA,Chocolate,NA
get Revenue for category Meats in year 2019?,Revenue,Meats,NA,NA
fetch Bottom Line for category Candy in week Wk10 to Wk33?,Bottom Line,Candy,NA,NA
generate Max Shipment for category Sauces in year 2019?,Max Shipment,Sauces,NA,NA
display Bottom Line for the Customer Ahold in year 2019?,Bottom Line,NA,NA,Ahold
get Revenue for category Candy in month Dec?,Revenue,Candy,NA,NA
generate Net sales for category Sauces in year 2019?,Net sales,Sauces,NA,NA
display Top Line for the Customer Publix in month Feb?,Top Line,NA,NA,Publix
display Net sales for Sub_category Shelf Stable in week Wk21 to Wk43?,Net sales,NA,Shelf Stable,NA
generate Net sales for Sub_category Ketchup in year 2019?,Net sales,NA,Ketchup,NA
fetch Count for category Meats in year 2019?,Count,Meats,NA,NA
get Revenue for Sub_category Coffee in month Dec?,Revenue,NA,Coffee,NA
display Gross Sales for Sub_category Bacon in year 2019?,Gross Sales,NA,Bacon,NA
display Revenue for Sub_category Bars/Snacks in year 2019?,Revenue,NA,Bars/Snacks,NA
fetch Net sales for the Customer Amazon in year 2019?,Net sales,NA,NA,Amazon
display Net sales for category Sauces in month Jul?,Net sales,Sauces,NA,NA
fetch Gross Sales for category Candy in month Jun to Aug?,Gross Sales,Candy,NA,NA
fetch Count for Sub_category Chocolate in quarter Q2?,Count,NA,Chocolate,NA
fetch Max Shipment for Sub_category Enhancers in year 2019?,Max Shipment,NA,Enhancers,NA
display Net sales for Sub_category Mayonaise in week Wk4?,Net sales,NA,Mayonaise,NA
generate Max Shipment for category Sauces in week Wk5 to Wk32?,Max Shipment,Sauces,NA,NA
display Bottom Line for the Customer Albertsons/Safeway in week Wk2?,Bottom Line,NA,NA,Albertsons/Safeway
display Top Line for the Customer Amazon in month Apr to Nov?,Top Line,NA,NA,Amazon
display Count for the Customer Kroger in month Jul?,Count,NA,NA,Kroger
fetch Count for category Breakfast in quarter Q2 to Q4?,Count,Breakfast,NA,NA
fetch Gross Sales for Sub_category Bars/Snacks in week Wk11?,Gross Sales,NA,Bars/Snacks,NA
fetch Max Shipment for the Customer UNIFI in week Wk21 to Wk35?,Max Shipment,NA,NA,UNIFI
display Revenue for the Customer Albertsons/Safeway in year 2019?,Revenue,NA,NA,Albertsons/Safeway
get Gross Sales for the Customer Costco in quarter Q2 to Q4?,Gross Sales,NA,NA,Costco
generate Gross Sales for category Cheese in year 2019?,Gross Sales,Cheese,NA,NA
display Revenue for Sub_category Ketchup in quarter Q1 to Q4?,Revenue,NA,Ketchup,NA
display Net sales for Sub_category Coffee in year 2019?,Net sales,NA,Coffee,NA
get Revenue for the Customer Walmart in year 2019?,Revenue,NA,NA,Walmart
fetch Gross Sales for the Customer Walmart in quarter Q1?,Gross Sales,NA,NA,Walmart
generate Count for Sub_category Hot Dogs in quarter Q1 to Q4?,Count,NA,Hot Dogs,NA
generate Revenue for the Customer Walmart in year 2019?,Revenue,NA,NA,Walmart
get Gross Sales for Sub_category Chocolate in week Wk10 to Wk43?,Gross Sales,NA,Chocolate,NA
fetch Net sales for category Sauces in week Wk30?,Net sales,Sauces,NA,NA
display Max Shipment for category Sauces in year 2019?,Max Shipment,Sauces,NA,NA
get Gross Sales for Sub_category Bacon in month Jul?,Gross Sales,NA,Bacon,NA
fetch Count for Sub_category Processed Cheese in week Wk3 to Wk39?,Count,NA,Processed Cheese,NA
get Gross Sales for Sub_category Creamers in month Jan?,Gross Sales,NA,Creamers,NA
generate Net sales for Sub_category Grated in year 2019?,Net sales,NA,Grated,NA
generate Revenue for Sub_category Coffee in quarter Q1?,Revenue,NA,Coffee,NA
get Gross Sales for Sub_category Juice in week Wk16 to Wk43?,Gross Sales,NA,Juice,NA
get Top Line for Sub_category Grated in quarter Q2?,Top Line,NA,Grated,NA
generate Net sales for category Sauces in week Wk25 to Wk41?,Net sales,Sauces,NA,NA
fetch Top Line for category Cheese in quarter Q3?,Top Line,Cheese,NA,NA
get Gross Sales for category Sauces in month Jan to Dec?,Gross Sales,Sauces,NA,NA
display Net sales for the Customer Costco in quarter Q2?,Net sales,NA,NA,Costco
fetch Gross Sales for Sub_category Caramels in week Wk19 to Wk34?,Gross Sales,NA,Caramels,NA
fetch Count for the Customer Ahold in quarter Q4?,Count,NA,NA,Ahold
fetch Revenue for the Customer Albertsons/Safeway in year 2019?,Revenue,NA,NA,Albertsons/Safeway
fetch Revenue for the Customer Dollar General in week Wk44?,Revenue,NA,NA,Dollar General
fetch Top Line for the Customer Target in year 2019?,Top Line,NA,NA,Target
display Gross Sales for category Candy in year 2019?,Gross Sales,Candy,NA,NA
fetch Revenue for Sub_category Shelf Stable in year 2019?,Revenue,NA,Shelf Stable,NA
display Revenue for Sub_category Creamers in quarter Q1?,Revenue,NA,Creamers,NA
get Max Shipment for the Customer Target in year 2019?,Max Shipment,NA,NA,Target
fetch Revenue for Sub_category Shelf Stable in month Jun?,Revenue,NA,Shelf Stable,NA
generate Net sales for the Customer Aldi in year 2019?,Net sales,NA,NA,Aldi
generate Net sales for category Meats in year 2019?,Net sales,Meats,NA,NA
fetch Count for the Customer UNIFI in quarter Q2 to Q4?,Count,NA,NA,UNIFI
fetch Bottom Line for Sub_category Cold Cuts in quarter Q1?,Bottom Line,NA,Cold Cuts,NA
get Bottom Line for Sub_category BBQ in quarter Q1 to Q4?,Bottom Line,NA,BBQ,NA
display Top Line for category Meats in quarter Q3?,Top Line,Meats,NA,NA
generate Gross Sales for the Customer Walmart in year 2019?,Gross Sales,NA,NA,Walmart
generate Net sales for the Customer Albertsons/Safeway in quarter Q4?,Net sales,NA,NA,Albertsons/Safeway
get Gross Sales for the Customer Walmart in year 2019?,Gross Sales,NA,NA,Walmart
get Revenue for Sub_category Hot Dogs in year 2019?,Revenue,NA,Hot Dogs,NA
get Max Shipment for Sub_category Grated in quarter Q2 to Q4?,Max Shipment,NA,Grated,NA
display Net sales for Sub_category Grated in month Jun?,Net sales,NA,Grated,NA
get Max Shipment for the Customer Walmart in year 2019?,Max Shipment,NA,NA,Walmart
generate Bottom Line for category Cheese in year 2019?,Bottom Line,Cheese,NA,NA
fetch Bottom Line for the Customer Target in month May to Nov?,Bottom Line,NA,NA,Target
display Top Line for Sub_category Tea in month Jul?,Top Line,NA,Tea,NA
display Net sales for Sub_category Grated in week Wk15 to Wk37?,Net sales,NA,Grated,NA
get Revenue for the Customer Ahold in week Wk52?,Revenue,NA,NA,Ahold
fetch Net sales for Sub_category Hard in week Wk17 to Wk27?,Net sales,NA,Hard,NA
fetch Top Line for category Candy in year 2019?,Top Line,Candy,NA,NA
display Revenue for Sub_category Ketchup in quarter Q2 to Q4?,Revenue,NA,Ketchup,NA
get Revenue for category Breakfast in quarter Q4?,Revenue,Breakfast,NA,NA
display Net sales for category Cheese in month Jun to Sep?,Net sales,Cheese,NA,NA
generate Top Line for the Customer Amazon in year 2019?,Top Line,NA,NA,Amazon
get Revenue for the Customer Ahold in quarter Q2 to Q4?,Revenue,NA,NA,Ahold
fetch Revenue for category Meats in month Jun?,Revenue,Meats,NA,NA
display Max Shipment for Sub_category All others in month Jan to Oct?,Max Shipment,NA,All others,NA
generate Gross Sales for the Customer Albertsons/Safeway in week Wk46?,Gross Sales,NA,NA,Albertsons/Safeway
get Gross Sales for the Customer Amazon in quarter Q1 to Q4?,Gross Sales,NA,NA,Amazon
fetch Revenue for category Sauces in year 2019?,Revenue,Sauces,NA,NA
display Bottom Line for category Sauces in month Jan to Oct?,Bottom Line,Sauces,NA,NA
generate Net sales for category Candy in year 2019?,Net sales,Candy,NA,NA
display Bottom Line for category Candy in quarter Q2 to Q4?,Bottom Line,Candy,NA,NA
display Count for Sub_category Bars/Snacks in quarter Q2?,Count,NA,Bars/Snacks,NA
fetch Revenue for Sub_category BBQ in week Wk24 to Wk27?,Revenue,NA,BBQ,NA
display Gross Sales for the Customer Ahold in week Wk33?,Gross Sales,NA,NA,Ahold
get Net sales for the Customer Ahold in year 2019?,Net sales,NA,NA,Ahold
display Max Shipment for the Customer Albertsons/Safeway in quarter Q1?,Max Shipment,NA,NA,Albertsons/Safeway
display Max Shipment for Sub_category Tea in year 2019?,Max Shipment,NA,Tea,NA
display Bottom Line for category Candy in quarter Q3?,Bottom Line,Candy,NA,NA
fetch Gross Sales for the Customer Aldi in week Wk23 to Wk36?,Gross Sales,NA,NA,Aldi
display Count for category Candy in quarter Q1?,Count,Candy,NA,NA
fetch Revenue for the Customer Ahold in week Wk1 to Wk47?,Revenue,NA,NA,Ahold
fetch Gross Sales for the Customer Publix in year 2019?,Gross Sales,NA,NA,Publix
fetch Top Line for the Customer Amazon in week Wk4 to Wk35?,Top Line,NA,NA,Amazon
generate Bottom Line for Sub_category Caramels in month Apr?,Bottom Line,NA,Caramels,NA
fetch Max Shipment for Sub_category Processed Cheese in week Wk22 to Wk42?,Max Shipment,NA,Processed Cheese,NA
display Top Line for Sub_category Creamers in quarter Q2?,Top Line,NA,Creamers,NA
generate Max Shipment for Sub_category All others in year 2019?,Max Shipment,NA,All others,NA
get Max Shipment for category Sauces in year 2019?,Max Shipment,Sauces,NA,NA
display Net sales for Sub_category Caramels in month Feb to Dec?,Net sales,NA,Caramels,NA
get Bottom Line for category Cheese in year 2019?,Bottom Line,Cheese,NA,NA
generate Bottom Line for the Customer Dollar General in month Apr to Nov?,Bottom Line,NA,NA,Dollar General
generate Bottom Line for category Candy in year 2019?,Bottom Line,Candy,NA,NA
generate Top Line for category Candy in month Mar to Aug?,Top Line,Candy,NA,NA
get Revenue for the Customer Aldi in week Wk42?,Revenue,NA,NA,Aldi
get Bottom Line for Sub_category Hard in quarter Q2 to Q4?,Bottom Line,NA,Hard,NA
display Max Shipment for Sub_category Mayonaise in quarter Q3?,Max Shipment,NA,Mayonaise,NA
display Gross Sales for Sub_category Hot Dogs in quarter Q1 to Q4?,Gross Sales,NA,Hot Dogs,NA
display Bottom Line for category Sauces in week Wk14?,Bottom Line,Sauces,NA,NA
display Revenue for the Customer Walmart in week Wk20 to Wk32?,Revenue,NA,NA,Walmart
generate Gross Sales for category Meats in week Wk10?,Gross Sales,Meats,NA,NA
generate Bottom Line for Sub_category Processed Cheese in year 2019?,Bottom Line,NA,Processed Cheese,NA
fetch Bottom Line for category Breakfast in week Wk37?,Bottom Line,Breakfast,NA,NA
display Max Shipment for Sub_category BBQ in year 2019?,Max Shipment,NA,BBQ,NA
generate Net sales for category Breakfast in month Jun?,Net sales,Breakfast,NA,NA
generate Revenue for Sub_category Juice in week Wk16 to Wk30?,Revenue,NA,Juice,NA
generate Net sales for the Customer Ahold in year 2019?,Net sales,NA,NA,Ahold
display Count for category Sauces in year 2019?,Count,Sauces,NA,NA
fetch Revenue for Sub_category Caramels in year 2019?,Revenue,NA,Caramels,NA
fetch Net sales for category Breakfast in week Wk2 to Wk36?,Net sales,Breakfast,NA,NA
get Net sales for Sub_category Specialty Meats in month Jul?,Net sales,NA,Specialty Meats,NA
get Gross Sales for category Sauces in week Wk18 to Wk46?,Gross Sales,Sauces,NA,NA
get Top Line for category Candy in month Mar?,Top Line,Candy,NA,NA
generate Bottom Line for category Candy in month Mar to Oct?,Bottom Line,Candy,NA,NA
display Gross Sales for category Cheese in week Wk35?,Gross Sales,Cheese,NA,NA
fetch Top Line for Sub_category Tea in month Jan to Oct?,Top Line,NA,Tea,NA
display Bottom Line for the Customer Costco in week Wk6?,Bottom Line,NA,NA,Costco
get Bottom Line for the Customer UNIFI in week Wk8 to Wk39?,Bottom Line,NA,NA,UNIFI
display Max Shipment for Sub_category Enhancers in quarter Q3?,Max Shipment,NA,Enhancers,NA
fetch Max Shipment for Sub_category Enhancers in week Wk24 to Wk50?,Max Shipment,NA,Enhancers,NA
generate Max Shipment for category Cheese in month Apr?,Max Shipment,Cheese,NA,NA
get Max Shipment for the Customer UNIFI in year 2019?,Max Shipment,NA,NA,UNIFI
get Net sales for category Candy in month Aug?,Net sales,Candy,NA,NA
fetch Revenue for Sub_category Bacon in year 2019?,Revenue,NA,Bacon,NA
display Count for Sub_category BBQ in quarter Q3?,Count,NA,BBQ,NA
generate Top Line for category Cheese in year 2019?,Top Line,Cheese,NA,NA
get Top Line for Sub_category All others in week Wk10?,Top Line,NA,All others,NA
generate Top Line for the Customer Walmart in quarter Q2 to Q4?,Top Line,NA,NA,Walmart
generate Top Line for category Cheese in year 2019?,Top Line,Cheese,NA,NA
fetch Revenue for Sub_category Hot Dogs in year 2019?,Revenue,NA,Hot Dogs,NA
generate Max Shipment for category Sauces in quarter Q2?,Max Shipment,Sauces,NA,NA
get Max Shipment for the Customer Walmart in year 2019?,Max Shipment,NA,NA,Walmart
fetch Count for category Sauces in month Apr?,Count,Sauces,NA,NA
fetch Revenue for category Cheese in month Feb to Oct?,Revenue,Cheese,NA,NA
display Gross Sales for the Customer Ahold in year 2019?,Gross Sales,NA,NA,Ahold
generate Net sales for the Customer Costco in quarter Q1 to Q4?,Net sales,NA,NA,Costco
get Net sales for the Customer Albertsons/Safeway in month Apr?,Net sales,NA,NA,Albertsons/Safeway
fetch Count for Sub_category Natural Cheese in quarter Q2 to Q4?,Count,NA,Natural Cheese,NA
display Gross Sales for category Breakfast in month Mar?,Gross Sales,Breakfast,NA,NA
get Bottom Line for Sub_category Processed Cheese in month Apr to Dec?,Bottom Line,NA,Processed Cheese,NA
get Revenue for Sub_category Natural Cheese in week Wk38?,Revenue,NA,Natural Cheese,NA
generate Top Line for category Sauces in year 2019?,Top Line,Sauces,NA,NA
fetch Max Shipment for Sub_category Enhancers in month Sep?,Max Shipment,NA,Enhancers,NA
display Bottom Line for Sub_category Chocolate in week Wk2 to Wk39?,Bottom Line,NA,Chocolate,NA
fetch Net sales for the Customer Target in year 2019?,Net sales,NA,NA,Target
fetch Top Line for category Breakfast in year 2019?,Top Line,Breakfast,NA,NA
get Revenue for category Breakfast in quarter Q2?,Revenue,Breakfast,NA,NA
display Gross Sales for the Customer Target in month May to Oct?,Gross Sales,NA,NA,Target
fetch Gross Sales for the Customer Albertsons/Safeway in month Feb?,Gross Sales,NA,NA,Albertsons/Safeway
generate Count for category Candy in month Mar to Dec?,Count,Candy,NA,NA
fetch Bottom Line for Sub_category Chocolate in month Nov?,Bottom Line,NA,Chocolate,NA
fetch Revenue for category Candy in quarter Q1 to Q4?,Revenue,Candy,NA,NA
generate Bottom Line for the Customer UNIFI in month May?,Bottom Line,NA,NA,UNIFI
display Count for the Customer Ahold in year 2019?,Count,NA,NA,Ahold
display Max Shipment for the Customer Aldi in week Wk19?,Max Shipment,NA,NA,Aldi
generate Net sales for the Customer UNIFI in week Wk8 to Wk30?,Net sales,NA,NA,UNIFI
generate Net sales for the Customer Ahold in week Wk26?,Net sales,NA,NA,Ahold
generate Gross Sales for Sub_category Natural Cheese in week Wk17 to Wk31?,Gross Sales,NA,Natural Cheese,NA
generate Bottom Line for Sub_category Bacon in month Dec?,Bottom Line,NA,Bacon,NA
display Gross Sales for the Customer Amazon in month Feb to Oct?,Gross Sales,NA,NA,Amazon
display Max Shipment for category Candy in month Mar?,Max Shipment,Candy,NA,NA
fetch Count for category Cheese in month Mar to Oct?,Count,Cheese,NA,NA
display Revenue for Sub_category Coffee in week Wk22?,Revenue,NA,Coffee,NA
generate Top Line for Sub_category Shelf Stable in quarter Q1 to Q4?,Top Line,NA,Shelf Stable,NA
get Net sales for the Customer Albertsons/Safeway in week Wk28?,Net sales,NA,NA,Albertsons/Safeway
generate Max Shipment for Sub_category Juice in quarter Q2 to Q4?,Max Shipment,NA,Juice,NA
display Net sales for the Customer Kroger in week Wk8?,Net sales,NA,NA,Kroger
fetch Revenue for category Breakfast in year 2019?,Revenue,Breakfast,NA,NA
get Gross Sales for category Cheese in month Apr?,Gross Sales,Cheese,NA,NA
display Count for the Customer Walmart in quarter Q1 to Q4?,Count,NA,NA,Walmart
generate Net sales for category Meats in month Jun?,Net sales,Meats,NA,NA
generate Count for category Cheese in month Jun to Oct?,Count,Cheese,NA,NA
display Count for the Customer Costco in quarter Q2?,Count,NA,NA,Costco
display Bottom Line for category Candy in quarter Q1 to Q4?,Bottom Line,Candy,NA,NA
display Net sales for the Customer Dollar General in month Feb?,Net sales,NA,NA,Dollar General
fetch Max Shipment for the Customer Dollar General in week Wk18 to Wk27?,Max Shipment,NA,NA,Dollar General
generate Count for Sub_category All others in quarter Q1?,Count,NA,All others,NA
get Gross Sales for category Breakfast in year 2019?,Gross Sales,Breakfast,NA,NA
get Bottom Line for category Sauces in month Jan?,Bottom Line,Sauces,NA,NA
get Revenue for category Cheese in quarter Q2 to Q4?,Revenue,Cheese,NA,NA
generate Bottom Line for Sub_category Grated in quarter Q1?,Bottom Line,NA,Grated,NA
get Net sales for the Customer Ahold in month Jun to Sep?,Net sales,NA,NA,Ahold
display Count for category Meats in week Wk16?,Count,Meats,NA,NA
get Max Shipment for category Breakfast in week Wk20 to Wk35?,Max Shipment,Breakfast,NA,NA
fetch Revenue for category Breakfast in month May?,Revenue,Breakfast,NA,NA
get Count for category Candy in quarter Q2 to Q4?,Count,Candy,NA,NA
display Net sales for category Breakfast in quarter Q3?,Net sales,Breakfast,NA,NA
display Max Shipment for the Customer UNIFI in quarter Q2 to Q4?,Max Shipment,NA,NA,UNIFI
fetch Max Shipment for Sub_category Mayonaise in month Jan?,Max Shipment,NA,Mayonaise,NA
fetch Count for category Meats in month May to Aug?,Count,Meats,NA,NA
generate Bottom Line for the Customer Kroger in year 2019?,Bottom Line,NA,NA,Kroger
generate Bottom Line for Sub_category Creamers in week Wk19 to Wk35?,Bottom Line,NA,Creamers,NA
fetch Count for Sub_category Tea in quarter Q4?,Count,NA,Tea,NA
generate Net sales for Sub_category Chocolate in quarter Q1 to Q4?,Net sales,NA,Chocolate,NA
generate Top Line for category Sauces in week Wk3?,Top Line,Sauces,NA,NA
fetch Top Line for the Customer Aldi in week Wk22 to Wk30?,Top Line,NA,NA,Aldi
fetch Max Shipment for category Candy in quarter Q4?,Max Shipment,Candy,NA,NA
fetch Net sales for Sub_category Shelf Stable in year 2019?,Net sales,NA,Shelf Stable,NA
generate Revenue for Sub_category Enhancers in month Dec?,Revenue,NA,Enhancers,NA
fetch Max Shipment for Sub_category Natural Cheese in quarter Q1 to Q4?,Max Shipment,NA,Natural Cheese,NA
generate Bottom Line for Sub_category Cold Cuts in month Jun?,Bottom Line,NA,Cold Cuts,NA
generate Net sales for category Breakfast in year 2019?,Net sales,Breakfast,NA,NA
display Net sales for the Customer Ahold in week Wk17?,Net sales,NA,NA,Ahold
display Bottom Line for the Customer Walmart in quarter Q1 to Q4?,Bottom Line,NA,NA,Walmart
fetch Net sales for category Sauces in quarter Q4?,Net sales,Sauces,NA,NA
fetch Net sales for Sub_category Specialty Meats in quarter Q1 to Q4?,Net sales,NA,Specialty Meats,NA
fetch Max Shipment for category Candy in year 2019?,Max Shipment,Candy,NA,NA
display Max Shipment for category Sauces in week Wk10 to Wk30?,Max Shipment,Sauces,NA,NA
generate Max Shipment for category Sauces in year 2019?,Max Shipment,Sauces,NA,NA
generate Bottom Line for category Candy in month Jun to Oct?,Bottom Line,Candy,NA,NA
display Max Shipment for the Customer Costco in year 2019?,Max Shipment,NA,NA,Costco
display Revenue for Sub_category Enhancers in month Apr to Sep?,Revenue,NA,Enhancers,NA
get Net sales for category Sauces in quarter Q2?,Net sales,Sauces,NA,NA
fetch Count for category Breakfast in week Wk20 to Wk33?,Count,Breakfast,NA,NA
fetch Net sales for Sub_category Shelf Stable in year 2019?,Net sales,NA,Shelf Stable,NA
display Net sales for the Customer Ahold in week Wk18 to Wk31?,Net sales,NA,NA,Ahold
display Count for the Customer Amazon in month Jan?,Count,NA,NA,Amazon
display Gross Sales for category Candy in week Wk5 to Wk49?,Gross Sales,Candy,NA,NA
get Bottom Line for Sub_category Natural Cheese in week Wk34?,Bottom Line,NA,Natural Cheese,NA
generate Gross Sales for category Sauces in week Wk2 to Wk49?,Gross Sales,Sauces,NA,NA
fetch Max Shipment for the Customer Albertsons/Safeway in month Jul?,Max Shipment,NA,NA,Albertsons/Safeway
fetch Revenue for category Sauces in year 2019?,Revenue,Sauces,NA,NA
fetch Bottom Line for Sub_category Coffee in quarter Q2?,Bottom Line,NA,Coffee,NA
get Count for the Customer Dollar General in quarter Q2 to Q4?,Count,NA,NA,Dollar General
get Revenue for category Sauces in month Mar?,Revenue,Sauces,NA,NA
generate Bottom Line for Sub_category Shelf Stable in year 2019?,Bottom Line,NA,Shelf Stable,NA
display Net sales for category Sauces in month Apr?,Net sales,Sauces,NA,NA
generate Top Line for category Breakfast in week Wk3 to Wk39?,Top Line,Breakfast,NA,NA
fetch Count for the Customer Kroger in week Wk39?,Count,NA,NA,Kroger
display Top Line for category Breakfast in quarter Q1 to Q4?,Top Line,Breakfast,NA,NA
display Revenue for category Meats in year 2019?,Revenue,Meats,NA,NA
generate Count for the Customer Publix in week Wk23 to Wk34?,Count,NA,NA,Publix
display Net sales for Sub_category Natural Cheese in month Sep?,Net sales,NA,Natural Cheese,NA
generate Revenue for the Customer Dollar General in quarter Q1 to Q4?,Revenue,NA,NA,Dollar General
generate Top Line for Sub_category Hard in year 2019?,Top Line,NA,Hard,NA
get Gross Sales for category Candy in year 2019?,Gross Sales,Candy,NA,NA
fetch Max Shipment for the Customer Dollar General in year 2019?,Max Shipment,NA,NA,Dollar General
fetch Net sales for the Customer Kroger in week Wk20 to Wk52?,Net sales,NA,NA,Kroger
generate Top Line for the Customer Amazon in month Dec?,Top Line,NA,NA,Amazon
generate Bottom Line for category Meats in month Jun to Nov?,Bottom Line,Meats,NA,NA
get Bottom Line for category Candy in month Apr?,Bottom Line,Candy,NA,NA
get Bottom Line for Sub_category Creamers in quarter Q2 to Q4?,Bottom Line,NA,Creamers,NA
display Bottom Line for category Candy in year 2019?,Bottom Line,Candy,NA,NA
get Net sales for the Customer UNIFI in year 2019?,Net sales,NA,NA,UNIFI
fetch Net sales for category Meats in quarter Q2?,Net sales,Meats,NA,NA
get Revenue for Sub_category Shelf Stable in week Wk24 to Wk27?,Revenue,NA,Shelf Stable,NA
fetch Top Line for the Customer Amazon in week Wk34?,Top Line,NA,NA,Amazon
fetch Gross Sales for Sub_category Juice in quarter Q2 to Q4?,Gross Sales,NA,Juice,NA
fetch Count for category Breakfast in year 2019?,Count,Breakfast,NA,NA
fetch Count for Sub_category Caramels in week Wk13 to Wk42?,Count,NA,Caramels,NA
display Net sales for Sub_category Shelf Stable in month Mar?,Net sales,NA,Shelf Stable,NA
display Max Shipment for category Sauces in week Wk14 to Wk30?,Max Shipment,Sauces,NA,NA
get Gross Sales for the Customer Dollar General in quarter Q1?,Gross Sales,NA,NA,Dollar General
get Top Line for Sub_category Hard in week Wk11 to Wk44?,Top Line,NA,Hard,NA
get Net sales for category Sauces in year 2019?,Net sales,Sauces,NA,NA
get Bottom Line for Sub_category Gelatin in month Mar to Sep?,Bottom Line,NA,Gelatin,NA
fetch Max Shipment for category Meats in quarter Q2?,Max Shipment,Meats,NA,NA
generate Gross Sales for category Cheese in quarter Q1 to Q4?,Gross Sales,Cheese,NA,NA
fetch Max Shipment for Sub_category Tea in quarter Q1?,Max Shipment,NA,Tea,NA
get Gross Sales for the Customer Costco in quarter Q2 to Q4?,Gross Sales,NA,NA,Costco
get Revenue for category Cheese in quarter Q4?,Revenue,Cheese,NA,NA
generate Top Line for Sub_category Shelf Stable in month Jan to Nov?,Top Line,NA,Shelf Stable,NA
fetch Bottom Line for Sub_category Cold Cuts in week Wk24?,Bottom Line,NA,Cold Cuts,NA
generate Top Line for Sub_category Mayonaise in month Mar to Nov?,Top Line,NA,Mayonaise,NA
display Count for category Cheese in quarter Q4?,Count,Cheese,NA,NA
get Top Line for category Cheese in week Wk6 to Wk27?,Top Line,Cheese,NA,NA
get Count for the Customer Walmart in week Wk39?,Count,NA,NA,Walmart
display Max Shipment for Sub_category Hot Dogs in week Wk16 to Wk32?,Max Shipment,NA,Hot Dogs,NA
display Revenue for Sub_category Chocolate in quarter Q2?,Revenue,NA,Chocolate,NA
get Bottom Line for the Customer Target in year 2019?,Bottom Line,NA,NA,Target
generate Top Line for category Sauces in quarter Q4?,Top Line,Sauces,NA,NA
display Net sales for Sub_category Bars/Snacks in year 2019?,Net sales,NA,Bars/Snacks,NA
get Max Shipment for Sub_category BBQ in month Mar?,Max Shipment,NA,BBQ,NA
fetch Max Shipment for the Customer Albertsons/Safeway in quarter Q2 to Q4?,Max Shipment,NA,NA,Albertsons/Safeway
get Net sales for the Customer Costco in month Feb?,Net sales,NA,NA,Costco
fetch Count for the Customer Costco in week Wk10 to Wk47?,Count,NA,NA,Costco
get Bottom Line for the Customer Target in quarter Q4?,Bottom Line,NA,NA,Target
generate Bottom Line for Sub_category Grated in week Wk1 to Wk44?,Bottom Line,NA,Grated,NA
generate Max Shipment for the Customer Amazon in year 2019?,Max Shipment,NA,NA,Amazon
get Gross Sales for category Cheese in year 2019?,Gross Sales,Cheese,NA,NA
display Bottom Line for category Meats in quarter Q2?,Bottom Line,Meats,NA,NA
get Net sales for the Customer Costco in year 2019?,Net sales,NA,NA,Costco
display Gross Sales for Sub_category All others in quarter Q4?,Gross Sales,NA,All others,NA
fetch Revenue for the Customer UNIFI in quarter Q2 to Q4?,Revenue,NA,NA,UNIFI
generate Net sales for Sub_category Natural Cheese in year 2019?,Net sales,NA,Natural Cheese,NA
display Gross Sales for Sub_category Tea in year 2019?,Gross Sales,NA,Tea,NA
fetch Top Line for Sub_category Processed Cheese in year 2019?,Top Line,NA,Processed Cheese,NA
fetch Max Shipment for category Breakfast in quarter Q1 to Q4?,Max Shipment,Breakfast,NA,NA
display Max Shipment for Sub_category Natural Cheese in year 2019?,Max Shipment,NA,Natural Cheese,NA
generate Top Line for the Customer Costco in year 2019?,Top Line,NA,NA,Costco
display Count for category Sauces in quarter Q1?,Count,Sauces,NA,NA
display Max Shipment for Sub_category Enhancers in week Wk7 to Wk39?,Max Shipment,NA,Enhancers,NA
fetch Revenue for the Customer Costco in month Jan?,Revenue,NA,NA,Costco
get Revenue for the Customer Aldi in quarter Q2 to Q4?,Revenue,NA,NA,Aldi
fetch Top Line for category Sauces in month Feb?,Top Line,Sauces,NA,NA
fetch Revenue for category Cheese in week Wk9 to Wk50?,Revenue,Cheese,NA,NA
fetch Bottom Line for the Customer Aldi in quarter Q3?,Bottom Line,NA,NA,Aldi
display Revenue for category Sauces in month Mar to Oct?,Revenue,Sauces,NA,NA
generate Max Shipment for the Customer Ahold in quarter Q3?,Max Shipment,NA,NA,Ahold
generate Gross Sales for Sub_category BBQ in year 2019?,Gross Sales,NA,BBQ,NA
fetch Top Line for the Customer Amazon in week Wk49?,Top Line,NA,NA,Amazon
display Gross Sales for Sub_category BBQ in quarter Q1 to Q4?,Gross Sales,NA,BBQ,NA
generate Bottom Line for category Cheese in year 2019?,Bottom Line,Cheese,NA,NA
display Bottom Line for the Customer Walmart in quarter Q2 to Q4?,Bottom Line,NA,NA,Walmart
get Bottom Line for Sub_category Cold Cuts in month May?,Bottom Line,NA,Cold Cuts,NA
display Top Line for category Breakfast in week Wk13 to Wk32?,Top Line,Breakfast,NA,NA
get Top Line for the Customer Aldi in week Wk46?,Top Line,NA,NA,Aldi
generate Revenue for the Customer Costco in week Wk19 to Wk52?,Revenue,NA,NA,Costco
get Top Line for the Customer Kroger in quarter Q4?,Top Line,NA,NA,Kroger
generate Revenue for the Customer Albertsons/Safeway in week Wk5 to Wk43?,Revenue,NA,NA,Albertsons/Safeway
get Top Line for category Meats in week Wk39?,Top Line,Meats,NA,NA
